card_id,card_name,set_name,card_market_value,index
base4-1,Alakazam,Base Set 2,37.01,2-1-1
base4-2,Blastoise,Base Set 2,107.85,2-1-2
base4-3,Chansey,Base Set 2,14.71,2-1-3
base4-4,Charizard,Base Set 2,304.88,2-1-4
base4-5,Clefable,Base Set 2,13.97,2-1-5
base4-6,Clefairy,Base Set 2,10.79,2-1-6
base4-7,Gyarados,Base Set 2,26.94,2-1-7
base4-8,Hitmonchan,Base Set 2,21.21,2-1-8
base4-9,Magneton,Base Set 2,12.14,2-1-9
base4-10,Mewtwo,Base Set 2,40.96,2-2-1
base4-11,Nidoking,Base Set 2,24.14,2-2-2
base4-12,Nidoqueen,Base Set 2,23.02,2-2-3
base4-13,Ninetales,Base Set 2,21.49,2-2-4
base4-14,Pidgeot,Base Set 2,27.41,2-2-5
base4-15,Poliwrath,Base Set 2,13.35,2-2-6
base4-16,Raichu,Base Set 2,33.18,2-2-7
base4-17,Scyther,Base Set 2,24.6,2-2-8
base4-18,Venusaur,Base Set 2,73.77,2-2-9
base4-19,Wigglytuff,Base Set 2,11.0,2-3-1
base4-20,Zapdos,Base Set 2,24.31,2-3-2
base4-21,Beedrill,Base Set 2,1.96,2-3-3
base4-22,Dragonair,Base Set 2,8.58,2-3-4
base4-23,Dugtrio,Base Set 2,3.3,2-3-5
base4-24,Electabuzz,Base Set 2,3.17,2-3-6
base4-25,Electrode,Base Set 2,3.87,2-3-7
base4-26,Kangaskhan,Base Set 2,3.15,2-3-8
base4-27,Mr. Mime,Base Set 2,6.03,2-3-9
base4-28,Pidgeotto,Base Set 2,3.72,2-4-1
base4-29,Pinsir,Base Set 2,3.35,2-4-2
base4-30,Snorlax,Base Set 2,9.34,2-4-3
base4-31,Venomoth,Base Set 2,3.31,2-4-4
base4-32,Victreebel,Base Set 2,2.8,2-4-5
base4-33,Arcanine,Base Set 2,2.1,2-4-6
base4-34,Butterfree,Base Set 2,1.58,2-4-7
base4-35,Charmeleon,Base Set 2,1.73,2-4-8
base4-36,Dewgong,Base Set 2,1.23,2-4-9
base4-37,Dodrio,Base Set 2,1.8,2-5-1
